'aute	s_ w t e
guy	g w ˈi
guía	g ˈi a
guías	g ˈi a s
gym	x ˈe_ʝ m
géminis	x ˈe m i n i s
género	x ˈe n e ɾ o
géneros	x ˈe n e ɾ o s
gérmenes	x ˈe ɾ m e n e s
gómez	g ˈo m e θ
góndola	g ˈo n d o l a
ha	a
haberlo	a β ˈe ɾ l o
haberme	a β ˈe ɾ m e
haberse	a β ˈe ɾ s e
habido	a β ˈi ð o
habilidades	a β i l i ð ˈa ð e s
habitación	a β i t a θ j ˈo n
habitada	a β i t ˈa ð a
habitan	a β ˈi t a n
habituales	a β i t w ˈa l e s
habitualmente	a β i t w ˈa l m ˈe n t e
habla	ˈa β l a
hablado	a β l ˈa ð o
hablamos	a β l ˈa m o s
hablan	ˈa β l a n
hablando	a β l ˈa n d o
hablar	a β l ˈa ɾ
hablara	a β l ˈa ɾ a
hablarnos	a β l ˈa ɾ n o s
hablarse	a β l ˈa ɾ s e
hablarán	a β l a ɾ ˈa n
hablaré	a β l a ɾ ˈe
hablas	ˈa β l a s
hablemos	a β l ˈe m o s
hables	ˈa β l e s
hablo	ˈa β l o
hablé	a β l ˈe
habló	a β l ˈo
habrá	a β ɾ ˈa
habrán	a β ɾ ˈa n
habrás	a β ɾ ˈa s
habría	a β ɾ ˈi a
habrían	a β ɾ ˈi a n
habrías	a β ɾ ˈi a s
habéis	a β ˈe j s
había	a β ˈi a
habíamos	a β ˈi a m o s
habían	a β ˈi a n
habías	a β ˈi a s
hace	ˈa θ e
hacemos	a θ ˈe m o s
hacen	ˈa θ e n
hacer	a θ ˈe ɾ
hacerla	a θ ˈe ɾ l a
hacerlo	a θ ˈe ɾ l o
hacerlos	a θ ˈe ɾ l o s
hacerme	a θ ˈe ɾ m e
hacerse	a θ ˈe ɾ s e
hacerte	a θ ˈe ɾ t e
haces	ˈa θ e s
hache	ˈa ʧ e
hacia	ˈa θ j a
haciendo	a θ j ˈe n d o
haciéndolo	a θ j ˈe n d o l o
haciéndose	a θ j ˈe n d o s e
hacía	a θ ˈi a
hadas	ˈa ð a s
hagamos	a ɣ ˈa m o s
hagas	ˈa ɣ a s
hago	ˈa ɣ o
halagada	a l a ɣ ˈa ð a
hallamos	a ʝ ˈa m o s
hallan	ˈa ʝ a n
hamaca	a m ˈa k a
hamacas	a m ˈa k a s
hambre	ˈa m b ɾ e
han	a n
hangares	a n g ˈa ɾ e s
hangzhou	a n g θ ˈo w
hanseática	a n s e ˈa t i k a
haremos	a ɾ ˈe m o s
hartarse	a ɾ t ˈa ɾ s e
harto	ˈa ɾ t o
hará	a ɾ ˈa
harán	a ɾ ˈa n
haré	a ɾ ˈe
haría	a ɾ ˈi a
has	a s
hasta	ˈa s t a
hay	ˈa j
haya	ˈa ʝ a
hayamos	a ʝ ˈa m o s
hayan	ˈa ʝ a n
hayas	ˈa ʝ a s
haz	ˈa θ
hazlo	ˈa θ l o
haznos	a θ n o s
he	ˈe
hecha	ˈe ʧ a
hechas	ˈe ʧ a s
hecho	ˈe ʧ o
hechos	ˈe ʧ o s
hectáreas	e k t ˈa ɾ e a s
helada	e l ˈa ð a
heladas	e l ˈa ð a s
helados	e l ˈa ð o s
helicópteros	e l i k ˈo p t e ɾ o s
helipuertos	e l i p w ˈe ɾ t o s
helsing	x e l s ˈi ŋ
hemiciclo	e m i θ ˈi k l o
hemos	ˈe m o s
herida	e ɾ ˈi ð a
heridos	e ɾ ˈi ð o s
hermana	e ɾ m ˈa n a
hermano	e ɾ m ˈa n o
hermanos	e ɾ m ˈa n o s
hermosas	e ɾ m ˈo s a s
hermosura	e ɾ m o s ˈu ɾ a
herramientas	e r a m j ˈe n t a s
hertzag	e ɾ t θ ˈa g
heterodoxo	e t e ɾ o ð ˈo k s o
hibernar	i β e ɾ n ˈa ɾ
hibernara	i β e ɾ n ˈa ɾ a
hiciera	i θ j ˈe ɾ a
hicieron	i θ j ˈe ɾ o n
hicimos	i θ ˈi m o s
hiciste	i θ ˈi s t e
hidrata	i ð ɾ a t a
hidroalcohólico	i ð ɾ o a l k o ˈo l i k o
hidrocodona	i ð ɾ o k o ð ˈo n a
hielo	j ˈe l o
hierbas	j ˈe ɾ b a s
hierro	j ˈe r o
hija	ˈi x a
hijas	ˈi x a s
hijo	ˈi x o
hijos	ˈi x o s
hilpus	i l p u s
himnos	ˈi m n o s
hincapié	i n k a p j ˈe
hindúes	i n d ˈu e s
hipercalóricas	i p e ɾ k a l ˈo ɾ i k a s
hipersensibidad	i p e ɾ s e n s i β i ð ˈa d
hipotecas	i p o t ˈe k a s
hipotética	i p o t ˈe t i k a
hispanismo	i s p a n ˈi s m o
hispanistas	i s p a n ˈi s t a s
historia	i s t ˈo ɾ j a
historiadores	i s t o ɾ j a ð ˈo ɾ e s
historial	i s t o ɾ j ˈa l
historias	i s t ˈo ɾ j a s
histórico	i s t ˈo ɾ i k o
históricos	i s t ˈo ɾ i k o s
hizo	ˈi θ o
hogar	o ɣ ˈa ɾ
hogares	o ɣ ˈa ɾ e s
hoja	ˈo x a
hola	ˈo l a
holístico	o l ˈi s t i k o
hombres	ˈo m b ɾ e s
hombro	ˈo m b ɾ o
homenaje	o m e n ˈa x e
homenajes	o m e n ˈa x e s
homicidio	o m i θ ˈi ð j o
homogénea	o m o x ˈe n e a
homoparental	o m o p a ɾ e n t ˈa l
homóloga	o m ˈo l o ɣ a
honestidad	o n e s t i ð ˈa d
honestos	o n ˈe s t o s
hongbin	o n g b i n
honrado	o n r ˈa ð o
horario	o ɾ ˈa ɾ j o
horarios	o ɾ ˈa ɾ j o s
horas	ˈo ɾ a s
hormiguero	o ɾ m i ɣ w ˈe ɾ o
hormona	o ɾ m ˈo n a
hornblower	o ɾ n b l o w ˈe ɾ
hornillo	o ɾ n ˈi ʝ o
horno	ˈo ɾ n o
horrenda	o r ˈe n d a
horribles	o r ˈi β l e s
horroriza	o r o ɾ ˈi θ a
hosca	ˈo s k a
hospitales	o s p i t ˈa l e s
hospitalidad	o s p i t a l i ð ˈa d
hospitalizaciones	o s p i t a l i θ a θ j ˈo n e s
hotelera	o t e l ˈe ɾ a
hoteleros	o t e l ˈe ɾ o s
hoteles	o t ˈe l e s
hoy	ˈo j
hubiera	u β j ˈe ɾ a
hubieran	u β j ˈe ɾ a n
hubieras	u β j ˈe ɾ a s
hubiese	u β j ˈe s e
hubieses	u β j ˈe s e s
hubiéramos	u β j ˈe ɾ a m o s
hubo	ˈu β o
hud	ˈu d
hueco	w ˈe k o
huelas	w ˈe l a s
huelga	w ˈe l g a
huellas	w ˈe ʝ a s
hui	w i
huir	w ˈi ɾ
humanidad	u m a n i ð ˈa d
humano	u m ˈa n o
humanos	u m ˈa n o s
humildad	u m i l d ˈa d
humilde	u m ˈi l d e
humillante	u m i ʝ ˈa n t e
humillarle	u m i ʝ ˈa ɾ l e
humo	ˈu m o
hunde	ˈu n d e
hundir	u n d ˈi ɾ
huye	ˈu ʝ e
huyen	ˈu ʝ e n
huyeron	u ʝ ˈe ɾ o n
huía	w ˈi a
hynkel	i n k ˈe l
héroe	ˈe ɾ o e
hímnico	ˈi m
i	i
ian	j a n
iba	ˈi β a
iban	ˈi β a n
ibas	ˈi β a s
ibera	i β ˈe ɾ a
iberdrola	i β e ɾ d ɾ ˈo l a
iberoamericana	i β e ɾ o a m e ɾ i k ˈa n a
ibicencos	i β i θ ˈe n k o s
iceta	i θ ˈe t a
ida	ˈi ð a
ideales	i ð e ˈa l e s
identificados	i ð e n t i f i k ˈa ð o s
identificar	i ð e n t i f i k ˈa ɾ
identifiqué	i ð e n t i f i k ˈe
idioma	i ð j ˈo m a
idiomas	i ð j ˈo m a s
ido	ˈi ð o
idílico	i ð ˈi l i k o
ignorancia	i g n o ɾ ˈa n θ j a
ignorante	i g n o ɾ ˈa n t e
igual	i ɣ w ˈa l
igualada	i ɣ w a l ˈa ð a
igualado	i ɣ w a l ˈa ð o
igualdad	i ɣ w a l d ˈa d
iguales	i ɣ w ˈa l e s
igualmente	i ɣ w ˈa l m ˈe n t e
ilegal	i l e ɣ ˈa l
ilimitada	i l i m i t ˈa ð a
ilimitados	i l i m i t ˈa ð o s
iluminación	i l u m i n a θ j ˈo n
iluminada	i l u m i n ˈa ð a
iluminado	i l u m i n ˈa ð o
ilusiones	i l u s j ˈo n e s
ilusión	i l u s j ˈo n
ilustre	i l ˈu s t ɾ e
ilustres	i l ˈu s t ɾ e s
ilógico	i l ˈo x i k o
imagen	i m ˈa x e n
imaginación	i m a x i n a θ j ˈo n
imaginado	i m a x i n ˈa ð o
imaginaos	i m a x i n ˈa o s
imaginar	i m a x i n ˈa ɾ
imaginaros	i m a x i n ˈa ɾ o s
imaginaré	i m a x i n a ɾ ˈe
imaginas	i m a x ˈi n a s
imagino	i m a x ˈi n o
imaginó	i m a x i n ˈo
imbécil	i m b ˈe θ i l
impactado	i m p a k t ˈa ð o
impactante	i m p a k t ˈa n t e
impacto	i m p ˈa k t o
imperar	i m p e ɾ ˈa ɾ
imperdibles	i m p e ɾ d ˈi β l e s
imperfecciones	i m p e ɾ f e k θ j ˈo n e s
imperio	i m p ˈe ɾ j o
impertinencia	i m p e ɾ t i n ˈe n θ j a
impida	i m p ˈi ð a
impide	i m p i ð e
impiden	i m p ˈi ð e n
impidieron	i m p i ð j ˈe ɾ o n
implementación	i m p l e m e n t a θ j ˈo n
implementadas	i m p l e m e n t ˈa ð a s
imponen	i m p ˈo n e n
imponente	i m p o n ˈe n t e
imponentes	i m p o n ˈe n t e s
imponerme	i m p o n ˈe ɾ m e
importa	i m p ˈo ɾ t a
importación	i m p o ɾ t a θ j ˈo n
importado	i m p o ɾ t ˈa ð o
importadores	i m p o ɾ t a ð ˈo ɾ e s
importancia	i m p o ɾ t ˈa n θ j a
importante	i m p o ɾ t ˈa n t e
importantes	i m p o ɾ t ˈa n t e s
importantísimo	i m p o ɾ t a n t ˈi s i m o
importar	i m p o ɾ t ˈa ɾ
importará	i m p o ɾ t a ɾ ˈa
importaría	i m p o ɾ t a ɾ ˈi a
importe	i m p ˈo ɾ t e
imposible	i m p o s ˈi β l e
imprescindible	i m p ɾ e s θ i n d ˈi β l e
impresionada	i m p ɾ e s j o n ˈa ð a
impresionado	i m p ɾ e s j o n ˈa ð o
impresionante	i m p ɾ e s j o n ˈa n t e
impresionantes	i m p ɾ e s j o n ˈa n t e s
impresionará	i m p ɾ e s j o n a ɾ ˈa
impresionistas	i m p ɾ e s j o n ˈi s t a s
impresionó	i m p ɾ e s j o n ˈo
impresión	i m p ɾ e s j ˈo n
impresoras	i m p ɾ e s ˈo ɾ a s
imprimiendo	i m p ɾ i m j ˈe n d o
improcedente	i m p ɾ o θ e ð ˈe n t e
improvisar	i m p ɾ o β i s ˈa ɾ
imprudencias	i m p ɾ u ð ˈe n θ j a s
impuesto	i m p w ˈe s t o
impuestos	i m p w ˈe s t o s
impulsa	i m p ˈu l s a
impulsado	i m p u l s ˈa ð o
impulsar	i m p u l s ˈa ɾ
imágenes	i m ˈa x e n e s
inactivas	i n a k t ˈi β a s
inadvertido	i n a d b e ɾ t ˈi ð o
inalcanzables	i n a l k a n θ ˈa β l e s
inalámbrica	i n a l ˈa m b ɾ i k a
inalámbrico	i n a l ˈa m b ɾ i k o
incansablemente	i n k a n s ˈa β l e m ˈe n t e
incapaz	i n k a p ˈa θ
incendios	i n θ ˈe n d j o s
incentivar	i n θ e n t i β ˈa ɾ
incentivo	i n θ e n t ˈi β o
incertidumbre	i n θ e ɾ t i ð ˈu m b ɾ e
incertidumbres	i n θ e ɾ t i ð ˈu m b ɾ e s
incesantes	i n θ e s ˈa n t e s
incidente	i n θ i ð ˈe n t e
incierta	i n θ j ˈe ɾ t a
incinerador	i n θ i n e ɾ a ð ˈo ɾ
inclino	i n k l ˈi n o
incluidos	i n k l w ˈi ð o s
incluir	i n k l w ˈi ɾ
incluso	i n k l ˈu s o
incluye	i n k l ˈu ʝ e
incluyen	i n k l ˈu ʝ e n
incluyendo	i n k l u ʝ ˈe n d o
inconsciente	i n k o n s θ j ˈe n t e
inconstitucionalidad	i n k o n s t i t u θ j o n a l i ð ˈa d
inconveniente	i n k o m b e n j ˈe n t e
incorporado	i n k o ɾ p o ɾ ˈa ð o
incorporé	i n k o ɾ p o ɾ ˈe
incorrecto	i n k o r ˈe k t o
incrementa	i n k ɾ e m ˈe n t a
incrementar	i n k ɾ e m e n t ˈa ɾ
incrementen	i n k ɾ e m ˈe n t e n
incremento	i n k ɾ e m ˈe n t o
incrementos	i n k ɾ e m ˈe n t o s
increíble	i n k ɾ e ˈi β l e
increíblemente	i n k ɾ e ˈi β l e m ˈe n t e
increíbles	i n k ɾ e ˈi β l e s
inculta	i n k ˈu l t a
incómodas	i n k ˈo m o ð a s
indagación	i n d a ɣ a θ j ˈo n
indebidos	i n d e β ˈi ð o s
indefensa	i n d e f ˈe n s a
indemnización	i n d e m n i θ a θ j ˈo n
independencia	i n d e p e n d ˈe n θ j a
independiente	i n d e p e n d j ˈe n t e
indescriptible	i n d e s k ɾ i p t ˈi β l e
indeterminado	i n d e t e ɾ m i n ˈa ð o
indias	ˈi n d j a s
indica	i n d ˈi k a
indicadores	i n d i k a ð ˈo ɾ e s
indicando	i n d i k ˈa n d o
indicar	i n d i k ˈa ɾ
indicaron	i n d i k ˈa ɾ o n
indiferencia	i n d i f e ɾ ˈe n θ j a
indigente	i n d i x ˈe n t e
indigentes	i n d i x ˈe n t e s
indigno	i n d ˈi g n o
indios	ˈi n d j o s
indiscutible	i n d i s k u t ˈi β l e
individuales	i n d i β i ð w ˈa l e s
individuo	i n d i β ˈi ð w o
industriales	i n d u s t ɾ j ˈa l e s
ine	i n e
inefectivas	i n e f e k t ˈi β a s
ineludible	i n e l u ð ˈi β l e
inestable	i n e s t ˈa β l e
infame	i m f ˈa m e
infancia	i m f ˈa n θ j a
infantería	i m f a n t e ɾ ˈi a
infantil	i m f a n t ˈi l
infantiles	i m f a n t ˈi l e s
infectados	i m f e k t ˈa ð o s
inferiores	i m f e ɾ j ˈo ɾ e s
infidelidad	i m f i ð e l i ð ˈa d
infinitas	i m f i n ˈi t a s
inflación	i m f l a θ j ˈo n
inflamadas	i m f l a m ˈa ð a s
influenciado	i m f l w e n θ j ˈa ð o
informaciones	i m f o ɾ m a θ j ˈo n e s
información	i m f o ɾ m a θ j ˈo n
informado	i m f o ɾ m ˈa ð o
informamos	i m f o ɾ m ˈa m o s
informar	i m f o ɾ m ˈa ɾ
informaremos	i m f o ɾ m a ɾ ˈe m o s
informarse	i m f o ɾ m ˈa ɾ s e
informativo	i m f o ɾ m a t ˈi β o
informativos	i m f o ɾ m a t ˈi β o s
infracciones	i m f ɾ a k θ j ˈo n e s
infraestructura	i m f ɾ a e s t ɾ u k t ˈu ɾ a
infraestructuras	i m f ɾ a e s t ɾ u k t ˈu ɾ a s
ingenieros	i n x e n j ˈe ɾ o s
ingeniería	i n x e n j e ɾ ˈi a
ingleses	i n g l ˈe s e s
inglés	i n g l ˈe s
ingredientes	i n g ɾ e ð j ˈe n t e s
ingresados	i n g ɾ e s ˈa ð o s
ingresar	i n g ɾ e s ˈa ɾ
ingreso	i n g ɾ ˈe s o
ingresos	i n g ɾ ˈe s o s
ingresé	i n g ɾ e s ˈe
inhabilitada	i n a β i l i t ˈa ð a
inhumanos	i n u m ˈa n o s
inicia	i n ˈi θ j a
iniciado	i n i θ j ˈa ð o
inicial	i n i θ j ˈa l
iniciales	i n i θ j ˈa l e s
inicialmente	i n i θ j ˈa l m ˈe n t e
iniciar	i n i θ j ˈa ɾ
iniciativa	i n i θ j a t ˈi β a
inicie	i n ˈi θ j e
inicio	i n ˈi θ j o
inicios	i n ˈi θ j o s
inició	i n i θ j ˈo
inigualable	i n i ɣ w a l ˈa β l e
injusticias	i n x u s t ˈi θ j a s
inmediata	i n m e ð j ˈa t a
inmediatamente	i n m e ð j ˈa t a m ˈe n t e
inmediato	i n m e ð j ˈa t o
inmensa	i n m ˈe n s a
inmenso	i n m ˈe n s o
inmoral	i n m o ɾ ˈa l
inmoralidad	i n m o ɾ a l i ð ˈa d
inmortalizar	i n m o ɾ t a l i θ ˈa ɾ
inmueble	i n m w ˈe β l e
inmunidad	i n m u n i ð ˈa d
innatas	i n ˈa t a s
innecesarias	i n e θ e s ˈa ɾ j a s
innecesario	i n e θ e s ˈa ɾ j o
innegociable	i n e ɣ o θ j ˈa β l e
innovación	i n o β a θ j ˈo n
inocencia	i n o θ ˈe n θ j a
inocentes	i n o θ ˈe n t e s
inodoros	i n o ð ˈo ɾ o s
inolvidable	i n o l b i ð ˈa β l e
inquietud	i n k j e t ˈu d
inquietudes	i n k j e t ˈu ð e s
inquilinos	i n k i l ˈi n o s
inscripciones	i n s k ɾ i p θ j ˈo n e s
inscrito	i n s k ɾ ˈi t o
insecticidas	i n s e k t i θ ˈi ð a s
inseguridades	i n s e ɣ u ɾ i ð ˈa ð e s
inseguro	i n s e ɣ ˈu ɾ o
inseguros	i n s e ɣ ˈu ɾ o s
inservible	i n s e ɾ b ˈi β l e
insignificante	i n s i g n i f i k ˈa n t e
insistes	i n s ˈi s t e s
insistido	i n s i s t ˈi ð o
insistir	i n s i s t ˈi ɾ
insolvencia	i n s o l b ˈe n θ j a
insoportable	i n s o p o ɾ t ˈa β l e
inspección	i n s p e k θ j ˈo n
inspiraba	i n s p i ɾ ˈa β a
inspiración	i n s p i ɾ a θ j ˈo n
inspirado	i n s p i ɾ ˈa ð o
instalaciones	i n s t a l a θ j ˈo n e s
instalan	i n s t ˈa l a n
instancia	i n s t ˈa n θ j a
instante	i n s t ˈa n t e
instantes	i n s t ˈa n t e s
instintivamente	i n s t i n t ˈi β a m ˈe n t e
instituciones	i n s t i t u θ j ˈo n e s
institución	i n s t i t u θ j ˈo n
instrucciones	i n s t ɾ u k θ j ˈo n e s
instructivo	i n s t ɾ u k t ˈi β o
insulsas	i n s ˈu l s a s
insultar	i n s u l t ˈa ɾ
insulto	i n s ˈu l t o
integran	i n t ˈe ɣ ɾ a n
intelectualmente	i n t e l e k t w ˈa l m ˈe n t e
inteligencia	i n t e l i x ˈe n θ j a
inteligente	i n t e l i x ˈe n t e
inteligentes	i n t e l i x ˈe n t e s
intencionados	i n t e n θ j o n ˈa ð o s
intenciones	i n t e n θ j ˈo n e s
intención	i n t e n θ j ˈo n
intensa	i n t ˈe n s a
intensamente	i n t ˈe n s a m ˈe n t e
intensidad	i n t e n s i ð ˈa d
intenso	i n t ˈe n s o
intenta	i n t ˈe n t a
intentaba	i n t e n t ˈa β a
intentaban	i n t e n t ˈa β a n
intentado	i n t e n t ˈa ð o
intentamos	i n t e n t ˈa m o s
intentan	i n t ˈe n t a n
intentando	i n t e n t ˈa n d o
intentar	i n t e n t ˈa ɾ
intentaremos	i n t e n t a ɾ ˈe m o s
intentarlo	i n t e n t ˈa ɾ l o
intentaré	i n t e n t a ɾ ˈe
intentaría	i n t e n t a ɾ ˈi a
intente	i n t ˈe n t e
intento	i n t ˈe n t o
intenté	i n t e n t ˈe
intentó	i n t e n t ˈo
interacción	i n t e ɾ a k θ j ˈo n
interactivo	i n t e ɾ a k t ˈi β o
interactuar	i n t e ɾ a k t w ˈa ɾ
interanual	i n t e ɾ a n w ˈa l
intercambio	i n t e ɾ k ˈa m b j o
intercambios	i n t e ɾ k ˈa m b j o s
intercostales	i n t e ɾ k o s t ˈa l e s
interesa	i n t e ɾ ˈe s a
interesaba	i n t e ɾ e s ˈa β a
interesado	i n t e ɾ e s ˈa ð o
interesan	i n t e ɾ ˈe s a n
interesando	i n t e ɾ e s ˈa n d o
interesante	i n t e ɾ e s ˈa n t e
interesantes	i n t e ɾ e s ˈa n t e s
interesar	i n t e ɾ e s ˈa ɾ
interesarle	i n t e ɾ e s ˈa ɾ l e
interesas	i n t e ɾ ˈe s a s
interesen	i n t e ɾ ˈe s e n
intereses	i n t e ɾ ˈe s e s
intereso	i n t e ɾ ˈe s o
interesó	i n t e ɾ e s ˈo
interfiero	i n t e ɾ f j ˈe ɾ o
interminables	i n t e ɾ m i n ˈa β l e s
interna	i n t ˈe ɾ n a
internacionales	i n t e ɾ n a θ j o n ˈa l e s
internarle	i n t e ɾ n ˈa ɾ l e
interno	i n t ˈe ɾ n o
interrogado	i n t e r o ɣ ˈa ð o
interrogar	i n t e r o ɣ ˈa ɾ
interrogué	i n t e r o ɣ w ˈe
interrumpir	i n t e r u m p ˈi ɾ
interrupciones	i n t e r u p θ j ˈo n e s
intervención	i n t e ɾ b e n θ j ˈo n
intervienen	i n t e ɾ b j ˈe n e n
intervino	i n t e ɾ b ˈi n o
interés	i n t e ɾ ˈe s
intransigencias	i n t ɾ a n s i x ˈe n θ j a s
introducido	i n t ɾ o ð u θ ˈi ð o
introducir	i n t ɾ o ð u θ ˈi ɾ
introducirlas	i n t ɾ o ð u θ ˈi ɾ l a s
introducirse	i n t ɾ o ð u θ ˈi ɾ s e
introduzca	i n t ɾ o ð ˈu θ k a
intuición	i n t w i θ j ˈo n
inténtelo	i n t ˈe n t e l o
intérprete	i n t ˈe ɾ p ɾ e t e
inunda	i n ˈu n d a
inundados	i n u n d ˈa ð o s
invadido	i m b a ð ˈi ð o
inventar	i m b e n t ˈa ɾ
inventaré	i m b e n t a ɾ ˈe
invento	i m b ˈe n t o
inventó	i m b e n t ˈo
invernaderos	i m b e ɾ n a ð ˈe ɾ o s
inversiones	i m b e ɾ s j ˈo n e s
inversión	i m b e ɾ s j ˈo n
inversor	i m b e ɾ s ˈo ɾ
invertidas	i m b e ɾ t ˈi ð a s
invertir	i m b e ɾ t ˈi ɾ
investidura	i m b e s t i ð ˈu ɾ a
investigaciones	i m b e s t i ɣ a θ j ˈo n e s
investigación	i m b e s t i ɣ a θ j ˈo n
investigador	i m b e s t i ɣ a ð ˈo ɾ
investigar	i m b e s t i ɣ ˈa ɾ
investigó	i m b e s t i ɣ ˈo
invierno	i m b j ˈe ɾ n o
invirtiendo	i m b i ɾ t j ˈe n d o
invitaciones	i m b i t a θ j ˈo n e s
invitación	i m b i t a θ j ˈo n
invitada	i m b i t ˈa ð a
invitado	i m b i t ˈa ð o
invitados	i m b i t ˈa ð o s
invito	i m b ˈi t o
involucra	i m b o l ˈu k ɾ a
involucrados	i m b o l u k ɾ ˈa ð o s
involucré	i m b o l u k ɾ ˈe
inyección	i n ʝ e k θ j ˈo n
inútil	i n ˈu t i l
iones	j ˈo n e s
ir	ˈi ɾ
ira	ˈi ɾ a
iremos	i ɾ ˈe m o s
irlanda	i ɾ l ˈa n d a
irme	ˈi ɾ m e
ironía	i ɾ o n ˈi a
ironías	i ɾ o n ˈi a s
irregularidades	i r e ɣ u l a ɾ i ð ˈa ð e s
irresponsable	i r e s p o n s ˈa β l e
irreversibles	i r e β e ɾ s ˈi β l e s
irrisoria	i r i s ˈo ɾ j a
irrisorio	i r i s ˈo ɾ j o
irrumpa	i r ˈu m p a
irse	ˈi ɾ s e
irte	ˈi ɾ t e
irá	i ɾ ˈa
irán	i ɾ ˈa n
irás	i ɾ ˈa s
iré	i ɾ ˈe
iría	i ɾ ˈi a
islotes	i s l ˈo t e s
israelitas	i s r a e l ˈi t a s
itinerantes	i t i n e ɾ ˈa n t e s
itinerario	i t i n e ɾ ˈa ɾ j o
izquierda	i θ k j ˈe ɾ d a
izquierdas	i θ k j ˈe ɾ d a s
jalisco	x a l ˈi s k o
jamás	x a m ˈa s
jamón	x a m ˈo n
japón	x a p ˈo n
jaquecas	x a k ˈe k a s
jardincito	x a ɾ d i n θ ˈi t o
jardineras	x a ɾ d i n ˈe ɾ a s
jardinero	x a ɾ d i n ˈe ɾ o
jardines	x a ɾ d ˈi n e s
jardín	x a ɾ d ˈi n
jarrón	x a r ˈo n
jaulas	x ˈa w l a s
jefa	x ˈe f a
jefatura	x e f a t ˈu ɾ a
jefe	x ˈe f e
jericó	x e ɾ i k ˈo
jim	x ˈi m
jin	x i n
jinetes	x i n ˈe t e s
jinping	x i n
jocker	x ˈo k
joe	x ˈo e
jornada	x o ɾ n ˈa ð a
josé	x o s ˈe
joven	x ˈo β e n
joyas	x ˈo ʝ a s
joyería	x o ʝ e ɾ ˈi a
juanito	x w a n ˈi t o
jubilados	x u β i l ˈa ð o s
judías	x u ð ˈi a s
jueces	x w ˈe θ e s
juega	x w ˈe ɣ a
juego	x w ˈe ɣ o
juegos	x w ˈe ɣ o s
jueves	x w ˈe β e s
juez	x w ˈe θ
jugaba	x u ɣ ˈa β a
jugado	x u ɣ ˈa ð o
jugador	x u ɣ a ð ˈo ɾ
jugadores	x u ɣ a ð ˈo ɾ e s
jugando	x u ɣ ˈa n d o
jugar	x u ɣ ˈa ɾ
jugué	x u ɣ w ˈe
jugábamos	x u ɣ ˈa β a m o s
juicio	x w ˈi θ j o
julián	x u l j ˈa n
junio	x ˈu n j o
juntarlos	x u n t ˈa ɾ l o s
juntarnos	x u n t ˈa ɾ n o s
juntas	x ˈu n t a s
juntitos	x u n t ˈi t o s
junto	x ˈu n t o
juntos	x ˈu n t o s
juraste	x u ɾ ˈa s t e
juro	x ˈu ɾ o
jurídica	x u ɾ ˈi ð i k a
jurídicamente	x u ɾ ˈi ð i k a m ˈe n t e
jurídicas	x u ɾ ˈi ð i k a s
juró	x u ɾ ˈo
justicia	x u s t ˈi θ j a
justificada	x u s t i f i k ˈa ð a
justificado	x u s t i f i k ˈa ð o
justificar	x u s t i f i k ˈa ɾ
justos	x ˈu s t o s
juvenil	x u b e n ˈi l
juventud	x u b e n t ˈu d
juzgado	x u θ g ˈa ð o
juzgas	x u θ g a s
juárez	x w ˈa ɾ e θ
jóvenes	x ˈo β e n e s
kantar	k a n t ˈa ɾ
karra	k ˈa r a
kashiwa	k a ʃ ˈi w a
ken	k e n
kenia	k ˈe n j a
kfc	k k
kilómetro	k i l ˈo m e t ɾ o
kilómetros	k i l ˈo m e t ɾ o s
kip	k ˈi p
kizaki	k i θ ˈa k i
koalas	k o ˈa l a s
korps	k ˈo ɾ p e_ese_
kringelein	k ɾ ˈi n x e l ˈe j n
la	l a
laberinto	l a β e ɾ ˈi n t o
labios	l ˈa β j o s
laborable	l a β o ɾ ˈa β l e
laboral	l a β o ɾ ˈa l
laborales	l a β o ɾ ˈa l e s
laboratorio	l a β o ɾ a t ˈo ɾ j o
labores	l a β ˈo ɾ e s
labradores	l a β ɾ a ð ˈo ɾ e s
lado	l ˈa ð o
lados	l ˈa ð o s
ladras	l ˈa ð ɾ a s
ladrillo	l a ð ɾ ˈi ʝ o
ladrillos	l a ð ɾ ˈi ʝ o s
ladrones	l a ð ɾ ˈo n e s
ladrón	l a ð ɾ ˈo n
lamentamos	l a m e n t ˈa m o s
lamentan	l a m ˈe n t a n
lamento	l a m ˈe n t o
lamenté	l a m e n t ˈe
lamentó	l a m e n t ˈo
lanzar	l a n θ ˈa ɾ
laoxian	l a o k s j a n
larga	l ˈa ɾ g a
largas	l ˈa ɾ g a s
largos	l ˈa ɾ g o s
las	l a s
lastimabas	l a s t i m ˈa β a s
lastimó	l a s t i m ˈo
laten	l ˈa t e n
latidos	l a t ˈi ð o s
latinoamericanas	l a t i n o a m e ɾ i k ˈa n a s
lavado	l a β ˈa ð o
lavar	l a β ˈa ɾ
lavarle	l a β ˈa ɾ l e
lavarte	l a β ˈa ɾ t e
lazan	l ˈa θ a n
lazarillo	l a θ a ɾ ˈi ʝ o
le	l e
lecciones	l e k θ j ˈo n e s
lección	l e k θ j ˈo n
leche	l ˈe ʧ e
lectores	l e k t ˈo ɾ e s
lectura	l e k t ˈu ɾ a
lee	l ˈe e
leemos	l e ˈe m o s
leerle	l e ˈe ɾ l e
legales	l e ɣ ˈa l e s
legislación	l e x i s l a θ j ˈo n
legislativas	l e x i s l a t ˈi β a s
